symbol,sector,exchange
METROPOLIS,Healthcare,NSE
MINDACORP,Automobile and Auto Components,NSE
MIDHANI,Capital Goods,NSE
MSUMI,Automobile and Auto Components,NSE
MOTILALOFS,Financial Services,NSE
MPHASIS,Information Technology,NSE
BECTORFOOD,Fast Moving Consumer Goods,NSE
MCX,Financial Services,NSE
MUTHOOTFIN,Financial Services,NSE
NATCOPHARM,Healthcare,NSE
NBCC,Construction,NSE
NCC,Construction,NSE
NEOGEN,Chemicals,NSE
NESCO,Services,NSE
NHPC,Power,NSE
NLCINDIA,Power,NSE
NMDC,Metals & Mining,NSE
NSLNISP,Metals & Mining,NSE
NTPCGREEN,Power,NSE
NTPC,Power,NSE
NH,Healthcare,NSE
NATIONALUM,Metals & Mining,NSE
NFL,Chemicals,NSE
NAVA,Power,NSE
NAVINFLUOR,Chemicals,NSE
NAZARA,Media Entertainment & Publication,NSE
NESTLEIND,Fast Moving Consumer Goods,NSE
NETWEB,Information Technology,NSE
NETWORK18,Media Entertainment & Publication,NSE
NEULANDLAB,Healthcare,NSE
NEWGEN,Information Technology,NSE
NAM-INDIA,Financial Services,NSE
NIVABUPA,Financial Services,NSE
NUVAMA,Financial Services,NSE
NUVOCO,Construction Materials,NSE
OBEROIRLTY,Realty,NSE
ONGC,Oil Gas & Consumable Fuels,NSE
OIL,Oil Gas & Consumable Fuels,NSE
OLAELEC,Automobile and Auto Components,NSE
OLECTRA,Automobile and Auto Components,NSE
PAYTM,Financial Services,NSE
ONESOURCE,Healthcare,NSE
OPTIEMUS,Telecommunication,NSE
OFSS,Information Technology,NSE
ORIENTCEM,Construction Materials,NSE
ORKLAINDIA,Fast Moving Consumer Goods,NSE
OSWALPUMPS,Capital Goods,NSE
PNGJL,Consumer Durables,NSE
POLICYBZR,Financial Services,NSE
PCJEWELLER,Consumer Durables,NSE
PCBL,Chemicals,NSE
PGEL,Consumer Durables,NSE
PIIND,Chemicals,NSE
PNBHOUSING,Financial Services,NSE
PNCINFRA,Construction,NSE
PTC,Power,NSE
PTCIL,Capital Goods,NSE
PVRINOX,Media Entertainment & Publication,NSE
PAGEIND,Textiles,NSE
PARADEEP,Chemicals,NSE
PARAS,Capital Goods,NSE
PARKHOSPS,Healthcare,NSE
PATANJALI,Fast Moving Consumer Goods,NSE
PGIL,Textiles,NSE
PERSISTENT,Information Technology,NSE
PETRONET,Oil Gas & Consumable Fuels,NSE
PFIZER,Healthcare,NSE
PHOENIXLTD,Realty,NSE
PWL,Consumer Services,NSE
PICCADIL,Fast Moving Consumer Goods,NSE
PIDILITIND,Chemicals,NSE
PINELABS,Financial Services,NSE
PIRAMALFIN,Financial Services,NSE
PPLPHARMA,Healthcare,NSE
POLYMED,Healthcare,NSE
POLYCAB,Capital Goods,NSE
POONAWALLA,Financial Services,NSE
PFC,Financial Services,NSE
POWERGRID,Power,NSE
POWERMECH,Construction,NSE
PRAJIND,Capital Goods,NSE
PREMIERENE,Capital Goods,NSE
PRESTIGE,Realty,NSE
PRICOLLTD,Automobile and Auto Components,NSE
PFOCUS,Media Entertainment & Publication,NSE
PRSMJOHNSN,Construction Materials,NSE
PRIVISCL,Chemicals,NSE
PRUDENT,Financial Services,NSE
PNB,Financial Services,NSE
PURVA,Realty,NSE
QPOWER,Capital Goods,NSE
QUESS,Services,NSE
RRKABEL,Capital Goods,NSE
RBLBANK,Financial Services,NSE
RECLTD,Financial Services,NSE
RHIM,Capital Goods,NSE
RITES,Construction,NSE
RADICO,Fast Moving Consumer Goods,NSE
RVNL,Construction,NSE
RAILTEL,Telecommunication,NSE
RAIN,Chemicals,NSE
RAINBOW,Healthcare,NSE
RALLIS,Chemicals,NSE
RKFORGE,Automobile and Auto Components,NSE
RCF,Chemicals,NSE
RATEGAIN,Information Technology,NSE
RATNAMANI,Capital Goods,NSE
RTNINDIA,Consumer Services,NSE
RTNPOWER,Power,NSE
RAYMONDLSL,Textiles,NSE
REDINGTON,Services,NSE
REDTAPE,Consumer Durables,NSE
REFEX,Utilities,NSE
RELAXO,Consumer Durables,NSE
RELIANCE,Oil Gas & Consumable Fuels,NSE
RPOWER,Power,NSE
RELIGARE,Financial Services,NSE
RBA,Consumer Services,NSE
ROUTE,Telecommunication,NSE
RUBICON,Healthcare,NSE
SBFC,Financial Services,NSE
SBICARD,Financial Services,NSE
SBILIFE,Financial Services,NSE
SJVN,Power,NSE
SKFINDUS,Capital Goods,NSE
SKFINDIA,Automobile and Auto Components,NSE
SKYGOLD,Consumer Durables,NSE
SMLMAH,Capital Goods,NSE
SHRIPISTON,Automobile and Auto Components,NSE
SRF,Chemicals,NSE
LOTUSDEV,Realty,NSE
SAATVIKGL,Capital Goods,NSE
SAFARI,Consumer Durables,NSE
SAGILITY,Information Technology,NSE
SAILIFE,Healthcare,NSE
SAMHI,Consumer Services,NSE
SAMMAANCAP,Financial Services,NSE
MOTHERSON,Automobile and Auto Components,NSE
SANDUMA,Metals & Mining,NSE
SANOFICONR,Healthcare,NSE
SANSERA,Automobile and Auto Components,NSE
SAPPHIRE,Consumer Services,NSE
SARDAEN,Metals & Mining,NSE
SAREGAMA,Media Entertainment & Publication,NSE
SCHAEFFLER,Automobile and Auto Components,NSE
SCHNEIDER,Capital Goods,NSE
SENCO,Consumer Durables,NSE
STYL,Financial Services,NSE
SHAILY,Consumer Durables,NSE
SHAKTIPUMP,Capital Goods,NSE
SHARDACROP,Chemicals,NSE
SHAREINDIA,Financial Services,NSE
SFL,Consumer Durables,NSE
SHILPAMED,Healthcare,NSE
SCI,Services,NSE
SHREECEM,Construction Materials,NSE
RENUKA,Fast Moving Consumer Goods,NSE
SHRIRAMFIN,Financial Services,NSE
SHYAMMETL,Capital Goods,NSE
ENRIN,Capital Goods,NSE
SIEMENS,Capital Goods,NSE
SIGNATURE,Realty,NSE
SKIPPER,Capital Goods,NSE
SMARTWORKS,Services,NSE
SOBHA,Realty,NSE
SOLARINDS,Chemicals,NSE
SONACOMS,Automobile and Auto Components,NSE
SONATSOFTW,Information Technology,NSE
SOUTHBANK,Financial Services,NSE
STARCEMENT,Construction Materials,NSE
STARHEALTH,Financial Services,NSE
SBIN,Financial Services,NSE
SAIL,Metals & Mining,NSE
SWSOLAR,Construction,NSE
STLTECH,Telecommunication,NSE
STAR,Healthcare,NSE
STYRENIX,Chemicals,NSE
SUBROS,Capital Goods,NSE
SUDARSCHEM,Chemicals,NSE
SUDEEPPHRM,Chemicals,NSE
SUMICHEM,Chemicals,NSE
SPARC,Healthcare,NSE
SUNPHARMA,Healthcare,NSE
SUNTV,Media Entertainment & Publication,NSE
SUNDARMFIN,Financial Services,NSE
SUNTECK,Realty,NSE
SUPREMEIND,Capital Goods,NSE
SPLPETRO,Chemicals,NSE
SUPRIYA,Healthcare,NSE
SURYAROSNI,Capital Goods,NSE
SUZLON,Capital Goods,NSE
SWANCORP,Chemicals,NSE
SWIGGY,Consumer Services,NSE
SYNGENE,Healthcare,NSE
SYRMA,Capital Goods,NSE
TARC,Realty,NSE
TBOTEK,Consumer Services,NSE
TDPOWERSYS,Capital Goods,NSE
TSFINV,Financial Services,NSE
TVSMOTOR,Automobile and Auto Components,NSE
TVSSCS,Services,NSE
TMB,Financial Services,NSE
TANLA,Information Technology,NSE
TATACAP,Financial Services,NSE
TATACHEM,Chemicals,NSE
TATACOMM,Telecommunication,NSE
TCS,Information Technology,NSE
TATACONSUM,Fast Moving Consumer Goods,NSE
TATAELXSI,Information Technology,NSE
TATAINVEST,Financial Services,NSE
TMCV,Capital Goods,NSE
TMPV,Automobile and Auto Components,NSE
TATAPOWER,Power,NSE
TATASTEEL,Metals & Mining,NSE
TATATECH,Information Technology,NSE
TTML,Telecommunication,NSE
TECHM,Information Technology,NSE
TECHNOE,Construction,NSE
TEGA,Capital Goods,NSE
TEJASNET,Telecommunication,NSE
TENNIND,Automobile and Auto Components,NSE
TEXRAIL,Capital Goods,NSE
THANGAMAYL,Consumer Durables,NSE
ANUP,Capital Goods,NSE
NIACL,Financial Services,NSE
RAMCOCEM,Construction Materials,NSE
THERMAX,Capital Goods,NSE
THOMASCOOK,Consumer Services,NSE
THYROCARE,Healthcare,NSE
TI,Fast Moving Consumer Goods,NSE
TIMETECHNO,Capital Goods,NSE
TIMKEN,Capital Goods,NSE
